tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9005349100,9140349100,3491,Thomaston,900575730,914075730,Litchfield,9005,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,140,Thomaston,06787
9005253500,9190253500,2535,New Milford,900552630,919052630,Litchfield,9005,Western Connecticut Planning Region,9190,20804,Western North,96,New Milford,06776
9005296100,9160296100,2961,Goshen,900532290,916032290,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,206,Region 6,06756
9005310601,9160310601,3106.01,Torrington,900576570,916076570,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,143,Torrington,06790
9005306100,9160306100,3061,New Hartford,900551350,916051350,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,207,Region 7,06057
9005263200,9160263200,2632,Cornwall,900517240,916017240,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,201,Region 1,06796
9005300100,9160300100,3001,Litchfield,900543370,916043370,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,74,Litchfield,06759
9005362102,9140362102,3621.02,Woodbury,900587910,914087910,Litchfield,9005,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,214,Region 14,06798
9011715100,9180715100,7151,Salem,901166210,918066210,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,121,Salem,06420
9001110601,9140110601,1106.01,Shelton,900168170,914068170,Fairfield,9001,Naugatuck Valley Planning Region,9140,20603,Naugatuck Valley South,126,Shelton,06484
9001110602,9140110602,1106.02,Shelton,900168170,914068170,Fairfield,9001,Naugatuck Valley Planning Region,9140,20603,Naugatuck Valley South,126,Shelton,06484
9001035102,9190035102,351.02,New Canaan,900150580,919050580,Fairfield,9001,Western Connecticut Planning Region,9190,20802,Western Central,90,New Canaan,06840
9001035101,9190035101,351.01,New Canaan,900150580,919050580,Fairfield,9001,Western Connecticut Planning Region,9190,20802,Western Central,90,New Canaan,06840
9001210502,9190210502,2105.02,Danbury,900118500,919018500,Fairfield,9001,Western Connecticut Planning Region,9190,20804,Western North,34,Danbury,06810
9001021701,9190021701,217.01,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06902
9001021602,9190021602,216.02,Stamford,900173070,919073070,Fairfield,9001,Western Connecticut Planning Region,9190,20801,Stamford & Greenwich Towns,135,Stamford,06905
